,New_NO
260450,restaurants
260456,old old restaurants food
260461,food restaurants
260466,old
260469,food
260470,old old
260475,quiet
260479,restaurants
260480,restaurants
260481,restaurants
260485,restaurants
260491,restaurants
260493,restaurants
260495,restaurants
260496,quiet
260497,quiet
260499,restaurants quiet
260513,quiet safe
260517,old restaurants
260519,restaurants
260525,quiet old restaurants
260528,restaurants
260533,safe food
260535,food
260537,safe old
260540,restaurants safe
260541,restaurants
260544,restaurants
260547,restaurants
260551,restaurants
260557,restaurants
260558,restaurants
260559,quiet safe
260562,safe restaurants
260565,quiet
260568,restaurants
260575,restaurants
260587,restaurants
260588,restaurants
260589,restaurants
260593,transportation
260597,restaurants
260600,old
260602,safe
260609,far restaurants
260610,restaurants
260613,restaurants
260615,transportation
260616,restaurants
260618,food
260620,restaurants food
260625,restaurants quiet old
260629,restaurants
260632,restaurants
260635,restaurants
260639,restaurants food food
260640,restaurants
260645,restaurants
260647,old food restaurants
260655,food
260659,restaurants
260663,restaurants
260665,restaurants
260679,quiet restaurants
260682,restaurants
260683,restaurants
260685,restaurants transportation
260688,transportation
260691,restaurants
260693,restaurants
260695,markets restaurants
260697,restaurants
260703,restaurants
260705,quiet restaurants
260713,restaurants
260714,old restaurants
260715,restaurants food
260716,old
260719,quiet
260723,restaurants
260728,restaurants
260729,food restaurants
260731,quiet restaurants
260735,markets restaurants
260737,restaurants restaurants
260746,restaurants
260750,restaurants
260751,old
260752,restaurants
260760,restaurants
260762,food
260766,restaurants
260771,food
260774,food
260780,safe
260781,restaurants quiet
260782,quiet
260788,food restaurants
260791,markets
260795,markets
260797,restaurants
260799,restaurants
260801,restaurants quiet
260809,restaurants
260811,restaurants
260813,restaurants far food
260814,quiet
260819,restaurants
260836,food
260837,restaurants
260838,restaurants quiet
260841,quiet
260843,restaurants
260844,quiet safe
260850,restaurants quiet
260851,restaurants
260862,quiet safe
260864,restaurants
260865,restaurants
260867,restaurants
260872,quiet safe
260880,quiet
260886,safe safe
260894,transportation restaurants
260897,restaurants
260900,safe restaurants
260902,safe
260903,traffic
260908,restaurants
260910,quiet restaurants
260911,restaurants
260912,safe
260921,restaurants
260927,food
260928,quiet transportation
260930,old traffic restaurants
260933,restaurants
260945,quiet restaurants
260956,restaurants
260959,quiet
260961,old restaurants
260962,food quiet
260972,traffic
260973,restaurants
260975,safe
260980,restaurants
260986,food
260995,restaurants
260996,quiet
260997,quiet
261001,transportation restaurants
261007,quiet
261013,restaurants food
261015,restaurants quiet
261017,quiet
261022,far
261026,food loud
261030,restaurants
261033,traffic
261037,restaurants quiet
261048,old
261054,food
261058,restaurants
261061,traffic
261066,restaurants old
261068,transportation far transportation
261070,quiet
261071,old
261075,quiet restaurants
261080,restaurants food
261086,restaurants
261091,quiet
261105,quiet
261108,quiet
261115,food food
261117,safe
261121,restaurants
261123,restaurants food
261140,restaurants
261142,safe
261144,quiet
261163,food
261165,food
261166,restaurants far
261174,restaurants
261175,quiet quiet
261176,restaurants
261181,food
261191,food
261195,old
261209,restaurants
261210,old
261214,old
261215,quiet safe
261219,restaurants food
261220,food
261221,quiet
261233,transportation restaurants
261236,quiet
261238,restaurants
261240,restaurants
261242,restaurants
261244,quiet
261245,restaurants
261247,safe traffic
261257,restaurants
261259,restaurants
261263,quiet
261266,far food
261270,restaurants
261283,safe
261289,quiet
261291,restaurants
261305,quiet
261306,restaurants
261309,food
261313,quiet
261323,quiet
261326,restaurants
261330,restaurants
261331,restaurants
261332,restaurants
261333,restaurants
261334,restaurants
261341,quiet
261342,restaurants
261356,quiet
261361,old
261362,restaurants
261364,restaurants
261367,restaurants
261370,restaurants
261373,restaurants
261378,restaurants safe
261381,old restaurants
261382,quiet
261383,food food
261388,restaurants
261391,quiet
261393,food
261398,restaurants
261400,quiet restaurants
261402,quiet transportation
261405,restaurants
261407,quiet food
261412,quiet
261417,food
261418,restaurants
261423,quiet
261425,restaurants
261434,restaurants food
261440,restaurants
261448,quiet restaurants
261455,old old
261457,restaurants
261459,markets
261462,quiet safe
261463,safe
261465,food
261472,restaurants
261475,restaurants food food
261477,safe quiet
261479,safe
261482,restaurants quiet
261484,safe quiet markets food food
261485,transportation
261491,transportation
261493,safe food
261500,safe
261502,restaurants
261503,old food
261504,quiet
261506,restaurants
261509,restaurants
261511,quiet
261512,food
261513,restaurants
261515,restaurants
261516,restaurants
261520,quiet safe
261521,far
261522,restaurants
261524,restaurants
261527,safe food
261528,restaurants
261532,restaurants
261534,quiet transportation transportation
261544,safe
261546,quiet safe
261565,restaurants old
261566,food
261569,food
261573,quiet
261581,quiet
261585,transportation restaurants
261591,restaurants
261594,restaurants
261596,restaurants
261598,restaurants
261601,restaurants
261610,quiet
261613,quiet
261619,restaurants
261623,food
261624,quiet restaurants
261626,quiet
261627,quiet
261630,old
261631,restaurants
261632,old restaurants
261633,quiet
261640,restaurants
261643,safe
261646,food restaurants
261651,safe
261652,food food
261657,old
261658,restaurants
261669,food food
261670,restaurants
261677,old
261683,quiet restaurants
261687,quiet
261694,restaurants
261695,restaurants
261697,restaurants
261702,safe restaurants
261706,restaurants restaurants quiet
261710,quiet
261711,food
261712,restaurants old restaurants
261714,restaurants
261717,quiet
261723,old restaurants far
261726,restaurants
261727,traffic restaurants
261728,restaurants
261729,quiet
261734,safe food
261738,quiet restaurants
261747,quiet food
261751,restaurants food
261754,restaurants
261758,restaurants
261777,food
261780,food
261782,restaurants
261787,quiet traffic
261788,quiet
261792,quiet
261795,quiet
261796,food
261797,restaurants food
261798,restaurants
261799,restaurants
261802,food restaurants
261804,restaurants food
261805,restaurants quiet
261807,restaurants
261810,safe quiet
261824,quiet
261825,restaurants
261826,safe restaurants
261829,restaurants food
261832,restaurants
261835,safe
261838,restaurants
261843,restaurants food
261847,quiet
261848,far
261851,quiet
261857,restaurants food markets
261866,restaurants
261871,restaurants food
261874,restaurants far food
261876,restaurants
261889,restaurants
261890,restaurants
261895,restaurants
261911,safe
261918,restaurants
261920,restaurants
261927,quiet
261928,safe
261930,restaurants
261935,quiet
261939,restaurants
261940,restaurants quiet
261945,restaurants
261946,safe
261948,food
261954,restaurants
261959,restaurants
261961,quiet
261963,quiet
261974,food
261975,safe
261979,restaurants restaurants
261980,old restaurants
261982,old
261986,restaurants
261987,restaurants
261989,food restaurants
261995,food
261999,restaurants
262000,quiet
262006,markets
262010,restaurants
262013,quiet old
262015,quiet
262017,safe
262018,restaurants
262020,restaurants
262023,restaurants
262036,quiet restaurants
262038,restaurants
262043,restaurants restaurants
262044,safe
262052,quiet
262056,restaurants
262057,safe
262061,restaurants
262064,transportation quiet
262072,restaurants
262077,food
262079,restaurants food
262083,quiet
262084,safe
262085,restaurants safe
262098,restaurants
262099,far
262100,quiet
262101,old
262104,restaurants
262115,restaurants
262123,restaurants quiet
262130,quiet
262131,old
262133,old
262135,quiet safe
262144,quiet
262146,safe
262148,quiet
262151,restaurants traffic
262165,safe transportation
262168,food food
262169,quiet
262173,restaurants
262183,restaurants
262186,quiet safe transportation
262187,quiet restaurants
262197,restaurants
262198,quiet
262201,quiet
262202,quiet
262208,restaurants
262213,restaurants markets
262214,restaurants
262220,quiet
262222,quiet
262226,food
262229,safe safe quiet
262232,food
262235,safe old
262237,restaurants
262241,restaurants restaurants
262249,safe
262252,restaurants
262254,restaurants
262256,transportation
262257,restaurants food
262260,traffic transportation
262269,quiet markets
262272,restaurants
262276,safe quiet
262277,restaurants
262278,traffic transportation
262279,restaurants
262283,far
262284,quiet restaurants
262285,restaurants
262286,restaurants
262290,restaurants
262291,restaurants
262295,restaurants old
262301,safe
262303,safe
262304,far restaurants
262306,food
262307,quiet restaurants far
262308,safe
262313,restaurants food
262323,safe
262326,quiet safe
262334,quiet quiet
262357,safe
262360,restaurants
262362,far
262370,restaurants
262376,safe quiet restaurants
262378,restaurants
262381,safe
262384,quiet restaurants quiet
262386,restaurants quiet restaurants
262388,quiet quiet
262390,quiet
262405,restaurants restaurants
262410,restaurants
262413,quiet
262420,restaurants
262423,restaurants
262431,quiet
262432,restaurants
262434,quiet safe
262439,quiet
262442,restaurants
262445,food
262447,safe restaurants
262448,restaurants
262449,safe
262452,safe restaurants
262454,quiet
262455,restaurants
262457,quiet
262458,restaurants restaurants
262461,restaurants
262467,restaurants far
262468,quiet
262474,restaurants far
262480,restaurants food food
262486,quiet
262487,restaurants
262489,quiet
262490,restaurants
262499,markets
262503,quiet restaurants
262504,restaurants
262516,restaurants food restaurants
262519,food
262531,restaurants markets
262532,restaurants
262533,restaurants food
262535,markets restaurants
262536,transportation
262538,restaurants
262542,restaurants
262547,restaurants
262548,food markets food food
262549,traffic far markets
262550,restaurants restaurants
262554,food
262555,markets
262557,quiet old
262558,restaurants restaurants old
262561,restaurants
262562,restaurants
262567,quiet safe
262569,restaurants food
262581,restaurants markets
262582,quiet restaurants markets food
262586,restaurants
262593,restaurants quiet restaurants
262594,restaurants
262599,markets quiet
262602,markets
262604,food restaurants markets
262605,safe
262613,restaurants restaurants
262622,food
262625,restaurants quiet restaurants
262627,food
262641,restaurants markets food
262642,markets
262643,restaurants safe
262644,markets
262648,restaurants
262650,food
262660,restaurants restaurants restaurants
262661,restaurants
262662,quiet safe
262664,quiet safe
262669,restaurants
262675,food restaurants
262683,quiet
262687,markets food
262690,restaurants
262695,safe quiet
262703,restaurants
262704,restaurants safe
262706,restaurants
262713,restaurants
262722,restaurants
262729,quiet
262734,old
262740,restaurants
262741,restaurants
262752,transportation
262755,restaurants
262768,far far
262772,restaurants food food
262774,transportation
262782,quiet restaurants
262785,restaurants
262786,restaurants
262806,old old old
262807,restaurants
262812,restaurants restaurants
262814,restaurants
262818,food
262825,quiet
262828,restaurants food markets food
262835,quiet safe
262839,restaurants
262840,safe
262850,restaurants
262858,quiet transportation
262879,food
262881,quiet
262887,transportation
262893,quiet restaurants
262899,restaurants
262902,restaurants
262903,quiet safe traffic
262904,restaurants
262911,restaurants
262915,old quiet
262918,restaurants restaurants
262924,restaurants
262928,restaurants quiet far
262929,quiet
262933,restaurants
262940,transportation quiet
262945,safe
262947,restaurants
262955,restaurants far
262956,restaurants
262959,far quiet
262960,restaurants
262962,restaurants
262964,quiet
262966,markets restaurants
262970,restaurants
262976,old restaurants safe
262979,quiet restaurants
262985,restaurants loud
262986,safe
262991,food restaurants
262999,safe
263000,food restaurants
263003,restaurants
263006,food markets
263011,restaurants
263022,restaurants
263027,far
263030,quiet
263033,quiet restaurants
263034,quiet
263036,restaurants
263037,restaurants
263041,restaurants
263043,restaurants
263044,restaurants food
263046,traffic
263047,food
263050,old
263054,quiet
263055,safe
263057,old
263058,restaurants
263068,restaurants
263072,restaurants food
263074,food
263080,restaurants food markets restaurants transportation
263085,old
263087,old restaurants
263093,quiet
263096,restaurants
263102,food
263106,quiet safe
263108,markets
263110,restaurants
263113,quiet
263127,food
263139,quiet
263140,quiet old restaurants
263147,restaurants
263150,quiet restaurants
263152,old
263155,food old
263157,old
263172,quiet
263176,restaurants quiet safe quiet food food
263178,safe
263181,food
263182,quiet restaurants
263183,quiet restaurants
263188,food markets food
263190,quiet restaurants
263195,restaurants
263196,restaurants
263199,far old food
263203,markets
263204,quiet
263213,quiet food restaurants
263214,restaurants
263216,restaurants
263221,safe
263222,quiet
263224,restaurants
263225,markets restaurants
263230,restaurants food
263231,restaurants
263233,quiet restaurants
263244,safe restaurants
263248,restaurants transportation
263249,restaurants food
263252,safe quiet
263257,safe
263261,food
263263,restaurants quiet
263264,quiet
263268,restaurants
263270,food
263273,restaurants
263275,quiet
263278,restaurants restaurants
263279,restaurants
263280,restaurants quiet
263284,restaurants
263297,restaurants
263298,restaurants food
263300,old
263305,restaurants
263307,quiet safe
263312,safe far
263313,markets
263317,restaurants
263320,restaurants markets restaurants
263323,restaurants
263329,quiet
263331,safe food markets
263336,restaurants
263338,quiet
263339,food
263343,food safe
263348,food
263349,restaurants
263351,markets
263354,food markets
263355,food
263362,far safe
263364,restaurants
263373,quiet restaurants
263375,restaurants
263380,old markets
263387,food
263388,restaurants
263389,far
263390,quiet
263391,food
263395,restaurants
263396,restaurants
263399,quiet
263402,restaurants
263403,quiet
263407,quiet restaurants
263410,restaurants
263412,restaurants
263414,safe
263415,restaurants
263417,restaurants
263419,safe
263420,restaurants
263421,safe
263422,restaurants food restaurants
263424,restaurants
263426,quiet
263430,restaurants
263431,restaurants restaurants
263433,restaurants
263434,restaurants quiet
263435,quiet safe
263437,restaurants
263443,safe quiet
263446,restaurants
263448,food restaurants
263450,food
263453,quiet
263455,restaurants
263457,food restaurants
263459,restaurants
263460,quiet
263465,restaurants
263466,quiet
263468,safe
263470,food
263474,safe
263475,quiet
263476,quiet restaurants safe quiet
263481,restaurants
263486,quiet
263488,quiet restaurants
263489,restaurants
263492,restaurants restaurants
263494,quiet restaurants quiet
263495,restaurants
263499,food food
263502,restaurants
263504,restaurants
263506,safe
263515,restaurants
263519,safe restaurants
263521,safe
263536,quiet food restaurants
263538,quiet
263539,markets
263542,markets
263546,food
263547,safe
263558,restaurants
263561,safe
263562,markets
263563,old old
263573,safe
263575,restaurants
263579,restaurants
263582,food
263589,restaurants
263592,food
263593,safe
263596,food
263597,safe restaurants
263598,old
263602,restaurants
263603,safe
263606,restaurants
263610,restaurants
263611,restaurants
263617,markets
263627,old restaurants
263632,restaurants
263635,quiet
263636,quiet quiet
263639,restaurants
263644,safe
263647,restaurants
263655,restaurants restaurants
263658,food
263661,food
263665,quiet
263668,quiet
263672,restaurants
263673,restaurants
263674,restaurants
263676,restaurants
263678,restaurants
263681,restaurants
263683,restaurants
263686,restaurants
263687,quiet restaurants
263689,restaurants
263691,restaurants
263692,restaurants
263705,restaurants restaurants
263710,safe
263716,safe
263717,quiet
263723,restaurants
263724,restaurants far
263727,food markets
263728,old
263729,markets
263731,restaurants restaurants
263735,far
263737,food
263739,safe restaurants
263741,food
263745,food
263749,old restaurants
263750,food markets food markets markets
263754,restaurants
263755,food quiet
263757,safe
263760,quiet
263777,quiet
263780,restaurants
263784,old
263793,restaurants
263805,safe restaurants
263812,quiet
263813,safe
263815,restaurants quiet
263822,restaurants markets
263829,restaurants
263838,quiet safe
263843,restaurants
263845,far quiet
263846,safe restaurants
263858,quiet restaurants
263859,restaurants
263860,safe traffic restaurants
263862,quiet
263864,quiet restaurants traffic
263866,safe restaurants
263867,quiet
263869,quiet restaurants
263872,food old
263873,far
263874,restaurants quiet
263878,quiet safe
263880,restaurants
263881,food
263886,restaurants
263887,markets food
263893,food
263894,far
263898,restaurants restaurants
263903,restaurants
263906,food
263917,quiet
263919,restaurants food
263921,restaurants food
263922,food restaurants old
263925,food food
263930,quiet
263935,restaurants
263940,restaurants
263944,quiet
263945,quiet
263947,safe quiet
263948,safe quiet
263954,restaurants
263956,safe
263958,restaurants
263960,restaurants quiet quiet
263962,restaurants
263963,food
263974,restaurants
263977,markets
263980,quiet restaurants food
263981,restaurants quiet
263983,quiet
263986,restaurants
263988,restaurants
263996,markets
263997,quiet
263999,quiet
264003,quiet
264004,quiet quiet
264007,far
264013,restaurants
264015,safe quiet
264021,restaurants
264022,markets quiet
264026,quiet
264027,restaurants quiet restaurants
264028,restaurants
264029,restaurants restaurants
264034,food
264037,restaurants restaurants
264040,food food
264042,old
264044,food
264046,restaurants
264053,markets food
264054,quiet
264056,quiet
264057,food restaurants restaurants
264060,food
264066,restaurants
264068,safe food
264071,restaurants
264073,food food
264074,old food
264075,food
264079,restaurants
264084,quiet safe
264087,food
264090,food markets food markets markets
264096,traffic
264105,restaurants
264107,markets
264113,restaurants markets
264120,safe
264122,old food
264130,old
264131,quiet
264155,old
264156,food restaurants food
264173,restaurants safe
264181,quiet
264188,safe quiet
264190,food
264191,safe
264206,restaurants
264207,restaurants quiet transportation
264230,safe
264242,restaurants
264249,restaurants
264253,restaurants
264255,traffic quiet transportation restaurants
264261,restaurants
264265,restaurants food
264267,restaurants
264272,restaurants
264274,restaurants
264276,quiet
264282,old
264283,restaurants
264284,old restaurants
264286,quiet
264298,quiet
264304,restaurants safe
264307,restaurants restaurants restaurants markets restaurants
264338,far
264339,quiet
264344,far restaurants
264345,restaurants
264346,restaurants
264348,safe restaurants
264354,restaurants
264389,quiet far restaurants
264392,markets
264414,quiet
264434,quiet
264447,old quiet
264470,food restaurants
264489,restaurants
264493,restaurants
264505,quiet restaurants
264522,restaurants
264541,traffic quiet
264542,restaurants old
264550,restaurants restaurants
264553,quiet restaurants quiet
264562,old restaurants safe
264564,restaurants food
264566,restaurants
264574,restaurants
264579,quiet safe
264593,quiet
264604,restaurants
264613,far
264616,quiet old
264618,restaurants restaurants restaurants
264631,quiet
264635,old
264636,old
264645,restaurants restaurants
264651,old
264653,restaurants
264655,old
264657,old
264669,restaurants
264681,restaurants
264684,restaurants
264685,food
264689,quiet restaurants
264691,quiet
264696,markets restaurants
264706,restaurants
264712,markets
264718,restaurants
264719,restaurants
264720,restaurants old
264727,quiet
264728,restaurants
264739,quiet
264741,restaurants restaurants restaurants restaurants
264743,restaurants
264748,transportation
264750,transportation transportation
264755,quiet restaurants
264763,quiet transportation
264770,far quiet
264775,restaurants
264776,safe quiet
264782,safe
264786,safe transportation food
264789,restaurants
264791,quiet
264794,old
264796,markets
264797,old
264801,quiet
264809,restaurants restaurants
264810,restaurants
264813,quiet safe
264820,quiet
264826,quiet restaurants
264827,restaurants
264839,quiet
264843,old
264847,restaurants
264854,restaurants
264859,quiet restaurants
264872,quiet
264894,quiet
264904,quiet restaurants
264909,quiet
264910,restaurants
264914,quiet
264915,restaurants
264916,restaurants quiet safe
264919,restaurants
264921,old
264922,old restaurants
264929,restaurants
264930,markets
264934,safe restaurants restaurants
264936,restaurants
264937,restaurants
264938,restaurants restaurants
264943,markets
264944,far
264946,quiet
264955,traffic
264959,restaurants
264961,restaurants
264967,restaurants restaurants old old
264972,quiet
264977,old
264980,quiet traffic
264987,markets
264988,restaurants restaurants
264999,safe
265000,transportation restaurants quiet
265001,food
265005,safe
265006,restaurants
265013,quiet
265014,quiet restaurants old
265017,quiet restaurants
265023,restaurants
265028,restaurants
265037,restaurants
265041,restaurants restaurants
265043,restaurants transportation
265048,restaurants
265051,restaurants
265061,quiet restaurants restaurants
265067,food restaurants
265069,restaurants
265085,safe
265086,restaurants
265087,far
265089,quiet far
265091,transportation restaurants
265092,safe
265095,restaurants
265099,quiet restaurants
265102,restaurants
265105,safe
265108,restaurants restaurants restaurants
265111,safe restaurants
265117,old
265121,restaurants
265127,restaurants
265139,restaurants restaurants
265141,restaurants food
265144,old restaurants
265146,restaurants
265151,restaurants
265157,old
265166,old
265170,restaurants
265171,quiet safe
265174,restaurants safe old
265177,old restaurants
265178,food
265179,restaurants
265181,restaurants
265193,quiet
265199,far
265201,quiet
265205,food food
265207,quiet restaurants
265214,restaurants
265225,restaurants
265234,restaurants
265238,restaurants
265241,restaurants
265242,restaurants
265246,quiet
265247,food
265249,restaurants
265252,restaurants
265254,quiet restaurants
265256,old
265259,restaurants
265262,restaurants
265273,restaurants food
265275,restaurants
265276,restaurants
265279,quiet
265284,quiet
265287,safe
265294,restaurants food
265300,old
265302,restaurants
265303,quiet
265305,restaurants
265306,quiet
265310,restaurants restaurants
265321,quiet
265327,old food
265328,restaurants food
265332,quiet traffic
265336,restaurants
265337,quiet quiet restaurants food
265338,safe
265339,restaurants restaurants
265341,restaurants
265356,old old
265361,far
265362,quiet
265363,food restaurants
265366,quiet
265367,safe food
265371,restaurants old
265372,restaurants food
265384,restaurants
265393,food
265412,restaurants
265415,restaurants
265420,old
265424,restaurants restaurants
265425,far quiet
265428,safe food restaurants
265429,restaurants
265430,old restaurants
265436,restaurants
265441,restaurants
265448,restaurants
265451,safe restaurants
265453,restaurants
265462,quiet traffic quiet
265465,restaurants
265467,restaurants
265468,restaurants safe
265471,food restaurants
265477,restaurants
265483,restaurants
265484,quiet
265485,quiet traffic
265491,safe
265495,food
265505,safe
265507,quiet restaurants
265509,safe safe
265510,restaurants
265517,restaurants
265520,quiet
265525,quiet
265531,quiet
265539,restaurants quiet
265543,quiet
265551,restaurants
265557,safe food restaurants
265563,restaurants markets
265565,safe
265568,quiet safe restaurants
265569,safe
265576,quiet far
265583,restaurants restaurants
265584,restaurants
265585,food
265586,quiet
265588,restaurants
265590,restaurants
265591,restaurants
265592,restaurants food safe
265598,food markets
265599,food safe
265600,restaurants
265601,quiet restaurants food safe
265602,safe
265606,restaurants safe
265616,restaurants
265621,food
265622,quiet restaurants
265630,quiet safe
265633,safe restaurants
265634,restaurants
265635,safe
265644,food restaurants
265647,food
265648,quiet
265650,quiet
265657,restaurants
265664,restaurants food
265666,restaurants restaurants
265668,food food
265669,restaurants
265671,quiet
265672,restaurants
265675,restaurants
265682,restaurants
265684,quiet restaurants
265685,quiet
265687,restaurants restaurants
265689,quiet
265695,quiet quiet
265696,restaurants restaurants
265702,quiet
265707,restaurants
265718,restaurants food
265721,restaurants food markets
265730,food restaurants
265731,restaurants food
265735,restaurants
265740,restaurants
265741,restaurants quiet
265742,quiet
265745,restaurants restaurants
265750,restaurants food
265752,restaurants
265754,safe food restaurants
265756,quiet
265759,restaurants
265760,food food
265761,old markets
265771,restaurants
265777,restaurants
265785,old
265787,restaurants
265788,quiet
265791,quiet food
265796,quiet restaurants
265798,quiet
265799,quiet
265801,quiet
265802,restaurants food
265806,restaurants old
265807,quiet safe
265811,old
265815,safe restaurants
265816,food
265817,safe safe restaurants
265824,quiet food
265825,safe
265833,restaurants
265837,restaurants old
265840,restaurants
265842,quiet
265850,restaurants
265852,quiet
265854,restaurants
265856,restaurants
265857,restaurants
265858,quiet food
265860,restaurants food
265862,quiet
265868,safe
265870,safe quiet
265872,restaurants
265875,restaurants
265879,restaurants
265881,restaurants
265882,markets restaurants
265885,restaurants
265886,restaurants
265889,food
265892,markets
265899,restaurants
265905,restaurants
265910,restaurants
265911,markets
265913,quiet
265915,safe
265917,quiet
265920,safe
265922,restaurants food
265924,far food
265928,quiet food
265934,restaurants
265937,safe quiet restaurants
265939,restaurants
265940,restaurants
265944,restaurants
265950,restaurants restaurants quiet
265952,quiet
265959,safe restaurants
265964,food restaurants
265968,far
265969,quiet safe
265971,restaurants restaurants
265974,restaurants restaurants
265978,safe
265986,restaurants
265994,quiet
266000,safe
266001,restaurants safe
266003,safe
266004,old
266005,quiet
266009,quiet
266015,quiet
266016,loud
266022,quiet
266030,restaurants
266034,restaurants
266035,restaurants restaurants
266036,far
266037,restaurants
266041,quiet traffic
266047,restaurants restaurants markets
266048,quiet
266050,quiet safe food restaurants
266051,quiet loud
266052,safe
266053,traffic
266057,safe
266060,safe
266064,restaurants
266078,quiet
266085,quiet
266086,restaurants
266092,restaurants
266093,restaurants
266104,restaurants restaurants
266107,far safe
266109,far restaurants
266110,restaurants far
266115,restaurants
266124,quiet
266125,restaurants
266127,quiet
266128,safe
266129,restaurants
266132,quiet food
266137,quiet
266147,restaurants
266151,safe
266154,restaurants quiet
266175,quiet
266176,traffic
266178,quiet
266179,safe
266187,restaurants
266191,restaurants
266198,food
266199,safe restaurants restaurants
266200,quiet restaurants
266202,restaurants
266203,quiet
266211,markets restaurants
266214,quiet
266222,safe restaurants
266225,quiet restaurants
266226,restaurants quiet
266227,restaurants
266229,restaurants
266232,safe
266233,quiet restaurants
266235,quiet safe
266239,food
266240,safe traffic
266247,restaurants restaurants
266250,safe
266274,far restaurants
266275,restaurants
266279,far
266282,restaurants safe
266289,restaurants
266290,quiet
266295,restaurants
266302,restaurants
266306,traffic
266312,restaurants
266322,restaurants restaurants
266328,restaurants
266329,quiet safe
266330,restaurants food old transportation restaurants
266341,restaurants quiet
266343,restaurants
266345,old food
266349,restaurants
266350,food
266354,markets
266357,old
266369,safe quiet
266370,restaurants
266371,markets
266373,restaurants
266375,quiet
266377,far
266378,restaurants
266379,old old
266391,safe
266396,restaurants
266397,old quiet
266399,old
266402,far
266404,safe
266411,quiet
266412,restaurants transportation
266429,old
266431,old food
266432,transportation
266433,safe quiet
266436,food
266440,food
266450,quiet restaurants
266453,traffic restaurants
266454,restaurants food
266457,restaurants
266461,quiet quiet
266467,restaurants
266468,quiet
266479,food
266480,quiet
266481,far
266483,restaurants
266495,restaurants food food
266502,safe
266504,old
266505,old
266509,old
266518,old food food
266520,restaurants
266529,quiet
266530,restaurants far
266543,quiet
266545,transportation
266552,markets
266558,food
266581,restaurants markets
266585,restaurants
266589,restaurants restaurants restaurants
266593,safe
266604,restaurants old
266612,quiet
266613,food
266629,restaurants
266632,food
266635,safe restaurants
266642,quiet
266651,quiet
266659,restaurants
266664,restaurants
266666,restaurants
266668,restaurants
266669,quiet safe quiet
266671,quiet restaurants
266674,quiet restaurants
266678,restaurants
266679,quiet
266691,quiet
266722,food
266724,restaurants
266733,food markets
266734,food
266737,quiet restaurants
266739,quiet restaurants
266745,restaurants
266747,quiet restaurants
266760,quiet
266761,restaurants
266768,restaurants restaurants
266769,transportation
266770,restaurants food
266772,markets
266774,old old food food
266777,restaurants
266779,restaurants
266784,food
266787,safe
266795,restaurants
266797,restaurants
266800,markets restaurants
266805,safe
266806,restaurants old
266812,quiet markets
266814,restaurants
266821,quiet
266826,quiet
266827,restaurants safe
266833,quiet
266834,restaurants
266838,old
266839,far traffic
266840,food
266845,quiet
266847,restaurants
266862,quiet
266866,old
266870,quiet
266876,safe safe restaurants
266892,traffic quiet
266893,restaurants
266895,restaurants
266897,restaurants
266902,restaurants
266903,quiet
266907,old restaurants
266908,restaurants
266910,restaurants
266913,safe
266916,old
266918,restaurants
266919,safe
266920,restaurants
266923,quiet
266931,quiet safe
266934,restaurants
266936,safe
266939,quiet
266940,far restaurants
266941,quiet
266942,restaurants
266951,quiet
266952,quiet restaurants
266967,safe transportation
266971,food
266976,restaurants
266977,safe restaurants
266978,quiet restaurants restaurants
266980,quiet far
266985,restaurants safe
266990,restaurants
266993,restaurants
266996,old
267001,restaurants
267005,quiet
267014,restaurants
267015,safe
267016,restaurants
267024,restaurants
267025,quiet restaurants
267027,safe
267033,restaurants
267035,safe
267037,safe
267040,food food restaurants
267043,restaurants
267044,restaurants
267047,transportation restaurants
267058,far
267060,quiet safe restaurants
267062,restaurants far
267064,quiet
267081,restaurants
267082,restaurants food food restaurants restaurants
267084,restaurants
267086,restaurants
267088,quiet safe markets
267093,restaurants
267114,restaurants
267116,restaurants quiet
267125,restaurants
267127,food
267128,restaurants
267132,transportation markets
267138,restaurants markets
267139,old
267146,restaurants
267147,restaurants
267148,restaurants
267160,restaurants
267164,food
267172,restaurants
267174,traffic restaurants
267176,restaurants
267185,safe
267192,quiet
267193,old restaurants
267196,restaurants
267198,restaurants
267199,quiet
267200,restaurants transportation
267211,quiet
267221,restaurants food markets
267230,transportation
267233,restaurants food food
267239,old restaurants food
267244,restaurants
267245,old
267246,food
267250,food restaurants
267252,quiet
267255,restaurants
267264,safe food
267266,food
267275,restaurants
267278,quiet food food
267280,restaurants
267283,safe
267284,quiet restaurants traffic quiet
267286,food
267288,safe
267296,restaurants
267303,restaurants
267305,safe restaurants
267324,safe restaurants
267325,restaurants
267328,far
267330,safe
267331,markets
267332,restaurants quiet
267335,quiet
267336,food
267340,restaurants
267341,quiet
267342,restaurants
267349,restaurants transportation
267354,restaurants
267355,food restaurants
267383,safe
267385,restaurants
267388,safe quiet restaurants
267399,quiet safe
267400,food
267401,restaurants
267404,restaurants
267405,quiet restaurants
267415,food
267416,food
267418,quiet
267421,restaurants restaurants
267435,quiet markets restaurants
267436,quiet restaurants food
267437,traffic
267441,quiet
267447,quiet
267449,quiet traffic food
267451,restaurants
267452,food
267453,quiet
267455,safe
267463,quiet safe
267467,quiet
267470,food
267482,old
267485,restaurants restaurants
267488,restaurants old
267493,quiet
267494,old
267495,restaurants
267505,restaurants
267507,quiet
267511,quiet
267517,food
