,New_NO
5237,restaurants
5238,restaurants
5241,far
5249,restaurants
5252,restaurants
5256,quiet
5260,old restaurants
5270,old
5271,restaurants
5276,food restaurants
5286,restaurants
5287,restaurants
5291,food restaurants food
5295,restaurants
5296,restaurants
5307,quiet
5308,restaurants
5315,quiet restaurants
5321,quiet
5322,quiet
5326,quiet restaurants
5335,quiet
5336,quiet food
5342,traffic
5344,restaurants food food
5347,quiet
5349,quiet
5350,quiet restaurants
5351,restaurants
5354,quiet safe
5356,restaurants
5358,quiet
5361,quiet
5373,safe
5374,restaurants
5378,quiet loud
5380,restaurants
5384,old
5397,quiet
5401,restaurants
5405,quiet
5406,far
5409,traffic quiet
5411,safe
5414,restaurants
5418,safe restaurants safe
5420,restaurants
5432,safe
5435,old
5436,restaurants
5437,old
5438,quiet
5445,restaurants
5446,far restaurants
5453,old safe quiet
5459,old
5462,food
5465,safe
5466,restaurants
5467,restaurants
5468,restaurants
5470,restaurants
5481,food old
5486,restaurants
5487,restaurants
5490,restaurants
5493,transportation
5495,restaurants
5502,quiet
5504,restaurants
5506,food
5507,old
5508,quiet
5513,restaurants quiet
5514,restaurants
5526,quiet
5527,restaurants restaurants
5537,restaurants
5538,restaurants safe transportation
5547,food
5554,restaurants
5555,food
5557,quiet
5567,safe
5568,quiet
5570,restaurants
5574,food old food
5580,restaurants
5581,old
5582,food
5586,safe
5587,quiet
5590,food
5592,quiet quiet
5595,food
5597,quiet
5598,restaurants food
5604,quiet traffic
5608,quiet
5610,restaurants
5612,restaurants restaurants
5628,far
5629,food quiet food
5635,safe far
5640,loud
5644,traffic
5652,quiet
5660,food
5663,restaurants
5668,traffic
5669,quiet quiet
5677,traffic
5684,food
5690,restaurants safe
5692,quiet restaurants
5693,quiet
5695,quiet
5702,old quiet
5706,restaurants
5709,restaurants
5717,quiet
5719,restaurants
5721,restaurants food
5723,old
5725,restaurants
5728,restaurants
5736,far old restaurants
5738,old food
5741,restaurants restaurants
5744,far safe
5746,food
5747,restaurants
5748,quiet
5764,quiet
5781,food restaurants
5785,restaurants
5796,restaurants
5808,food
5815,transportation
5826,food old markets
5830,restaurants
5836,restaurants
5841,restaurants markets
5846,restaurants
5852,quiet
5854,quiet
5855,restaurants
5856,restaurants
5858,restaurants
5861,restaurants food
5862,restaurants
5863,food restaurants
5868,food
5878,restaurants
5881,food
5883,restaurants quiet
5887,restaurants restaurants food
5898,food
5905,food restaurants
5910,markets
5917,food
5929,quiet
5932,quiet
5934,old
5937,restaurants
5938,restaurants
5940,restaurants restaurants
5944,transportation
5956,restaurants
5957,restaurants
5965,restaurants
5967,quiet restaurants
5968,quiet restaurants
5969,restaurants
5972,restaurants
5974,restaurants
5977,restaurants
5982,restaurants
5986,quiet restaurants
5987,quiet food
5990,restaurants
5991,quiet
5992,quiet
5994,restaurants
5996,markets
5997,food
6000,restaurants
6007,safe quiet
6015,restaurants
6017,restaurants
6040,food
6042,restaurants
6046,quiet
6049,restaurants restaurants
6055,safe
6078,food restaurants restaurants
6082,restaurants
6092,far
6095,restaurants
6100,restaurants
6107,quiet
6112,quiet quiet
6116,old
6118,old transportation
6119,restaurants
6120,restaurants
6122,quiet
6125,restaurants
6138,restaurants
6139,old restaurants
6142,quiet restaurants
6151,restaurants
6157,old
6161,quiet
6165,quiet restaurants
6167,restaurants
6172,restaurants
6176,quiet
6184,old quiet
6203,transportation
6206,quiet safe
6213,quiet
6218,quiet
6223,quiet
6227,restaurants far
6228,quiet restaurants
6231,transportation
6235,quiet
6236,markets restaurants
6237,markets
6240,safe
6249,restaurants
6254,old
6265,far old old old
6266,safe
6277,restaurants
6283,quiet restaurants
6287,restaurants
6288,restaurants
6293,restaurants restaurants
6295,restaurants
6299,restaurants
6301,old
6306,quiet
6318,old
6319,restaurants
6322,restaurants
6334,quiet
6336,restaurants
6339,restaurants
6343,restaurants
6344,restaurants
6345,old
6347,restaurants old
6352,quiet
6354,restaurants
6355,quiet restaurants
6356,safe
6357,safe quiet restaurants
6365,transportation restaurants
6366,restaurants food
6367,old restaurants safe restaurants
6368,markets
6369,restaurants
6375,safe
6393,food
6398,restaurants
6399,safe restaurants
6417,quiet
6419,markets old
6420,restaurants
6424,quiet
6425,restaurants
6436,restaurants
6438,far restaurants restaurants
6446,restaurants
6447,restaurants
6448,food
6455,safe quiet
6461,restaurants transportation
6463,safe
6464,safe old
6468,food
6469,safe
6470,restaurants
6471,restaurants
6476,safe
6480,restaurants
6484,old restaurants restaurants
6485,restaurants old
6486,quiet
6491,old
6492,restaurants
6493,safe old
6494,old
6501,restaurants
6505,restaurants
6506,restaurants
6508,restaurants
6514,restaurants
6523,food food
6532,restaurants
6534,restaurants restaurants
6535,quiet quiet
6544,restaurants transportation
6549,restaurants
6552,safe
6558,restaurants
6563,far restaurants
6572,restaurants restaurants
6577,restaurants
6583,restaurants
6585,restaurants
6586,food
6591,restaurants safe
6609,restaurants
6610,restaurants
6629,old old
6640,transportation
6648,old
6649,restaurants old restaurants
6660,traffic
6663,far restaurants
6665,restaurants
6668,safe
6670,old traffic restaurants
6675,restaurants
6681,restaurants old restaurants
6682,restaurants
6683,restaurants old restaurants
6685,restaurants
6686,restaurants
6687,food restaurants
6688,restaurants
6691,restaurants old
6692,old old
6693,restaurants
6694,quiet
6703,food
6707,quiet
6715,quiet restaurants
6721,safe old restaurants food
6736,restaurants
6744,quiet
6748,old
6753,quiet
6758,markets
6762,markets
6776,quiet safe
6778,transportation
6781,quiet
6782,safe
6786,restaurants
6788,quiet transportation
6790,far safe
6792,quiet old old
6801,restaurants
6804,restaurants
6805,old
6812,safe
6813,safe transportation
6822,restaurants
6823,old
6824,safe restaurants
6827,restaurants
6832,quiet
6833,quiet old far markets
6834,markets
6835,quiet
6844,restaurants
6847,restaurants
6851,food
6853,restaurants
6856,transportation
6857,restaurants
6858,safe restaurants quiet
6864,restaurants
6874,safe restaurants
6885,quiet
6888,food
6900,quiet restaurants old
6907,restaurants restaurants
6909,restaurants far
6918,restaurants
6923,quiet
6926,quiet restaurants transportation
6931,restaurants
6937,quiet
6939,restaurants quiet traffic
6942,old restaurants
6947,quiet
6959,restaurants
6967,restaurants
6973,restaurants
6979,transportation food food
6997,restaurants
6998,restaurants
7004,safe food
7010,restaurants
7011,quiet
7014,old
7020,restaurants
7021,old
7024,markets
7028,restaurants
7032,food
7036,quiet
7042,far
7046,quiet
7048,food old
7049,markets old
7064,restaurants
7072,quiet
7074,food old old
7078,quiet food
7085,food
7088,restaurants
7100,quiet food
7109,safe
7125,quiet
7139,quiet
7150,restaurants
7156,restaurants
7162,restaurants
7164,quiet old
7171,old
7185,restaurants
7187,food restaurants
7194,markets food food
7206,restaurants
7214,restaurants restaurants
7223,restaurants
7227,restaurants food
7229,safe
7230,quiet food
7240,food
7241,restaurants
7245,restaurants
7251,restaurants
7255,quiet restaurants
7258,restaurants
7260,quiet
7262,quiet
7270,quiet
7272,quiet safe
7275,restaurants
7276,food restaurants restaurants
7280,old restaurants
7288,quiet
7296,restaurants
7302,safe
7309,restaurants old
7313,old
7314,quiet
7317,restaurants
7325,quiet
7327,markets
7337,restaurants
7349,restaurants
7352,old food
7364,markets food
7368,restaurants food restaurants
7387,restaurants food
7389,restaurants
7397,quiet
7407,restaurants
7410,restaurants safe quiet
7411,restaurants quiet
7412,restaurants
7414,safe
